SciName,Family,Genus,Species,IchthyMaps.Record.Count,Outside.US.occurrences,NAS.occurrence,NASLink
Culaea inconstans,Gasterosteidae,Culaea,inconstans,1265,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=701
Cycleptus elongatus,Catostomidae,Cycleptus,elongatus,437,Yes,No,
Cyprinella camura,Leuciscidae,Cyprinella,camura,394,,No,
Cyprinella labrosa,Leuciscidae,Cyprinella,labrosa,45,,No,
Cyprinella lepida,Leuciscidae,Cyprinella,lepida,35,,No,
Cyprinodon elegans,Cyprinodontidae,Cyprinodon,elegans,12,Yes,No,
Cyprinodon pecosensis,Cyprinodontidae,Cyprinodon,pecosensis,90,,No,
Dionda episcopa,Leuciscidae,Dionda,episcopa,165,Yes,No,
Elassoma alabamae,Elassomatidae,Elassoma,alabamae,5,,No,
Elassoma boehlkei,Elassomatidae,Elassoma,boehlkei,14,,No,
Elassoma evergladei,Elassomatidae,Elassoma,evergladei,257,,No,
Elassoma okatie,Elassomatidae,Elassoma,okatie,17,,No,
Elassoma okefenokee,Elassomatidae,Elassoma,okefenokee,82,,No,
Elassoma zonatum,Elassomatidae,Elassoma,zonatum,1752,,No,
Empetrichthys latos,Goodeidae,Empetrichthys,latos,0,,No,
Enneacanthus chaetodon,Centrarchidae,Enneacanthus,chaetodon,301,,No,
Entosphenus tridentatus,Petromyzontidae,Entosphenus,tridentatus,82,Yes,No,
Erimystax cahni,Leuciscidae,Erimystax,cahni,7,,No,
Erimystax insignis,Leuciscidae,Erimystax,insignis,146,,No,
Erimyzon tenuis,Catostomidae,Erimyzon,tenuis,390,,No,
Esox americanus,Esocidae,Esox,americanus,5096,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=674
Esox lucius,Esocidae,Esox,lucius,2543,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=676
Esox masquinongy,Esocidae,Esox,masquinongy,923,Yes,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=679
Esox niger,Esocidae,Esox,niger,3447,Yes,No,
Etheostoma acuticeps,Percidae,Etheostoma,acuticeps,28,,No,
Etheostoma asprigene,Percidae,Etheostoma,asprigene,608,,No,
Etheostoma bellum,Percidae,Etheostoma,bellum,111,,No,
Etheostoma flabellare,Percidae,Etheostoma,flabellare,6895,Yes,No,
Etheostoma fonticola,Percidae,Etheostoma,fonticola,11,,No,
Etheostoma gracile,Percidae,Etheostoma,gracile,1817,Yes,No,
Etheostoma stigmaeum,Percidae,Etheostoma,stigmaeum,2178,,No,
Etheostoma swaini,Percidae,Etheostoma,swaini,1373,,No,
Etheostoma thalassinum,Percidae,Etheostoma,thalassinum,301,,No,
Etheostoma trisella,Percidae,Etheostoma,trisella,47,,No,
Fundulus bifax,Fundulidae,Fundulus,bifax,21,,No,
Fundulus dispar,Fundulidae,Fundulus,dispar,149,Yes,No,
Fundulus julisia,Fundulidae,Fundulus,julisia,12,,No,
Fundulus luciae,Fundulidae,Fundulus,luciae,15,,No,
Fundulus rathbuni,Fundulidae,Fundulus,rathbuni,157,,No,
Gambusia heterochir,Poeciliidae,Gambusia,heterochir,2,,No,
Gasterosteus aculeatus,Gasterosteidae,Gasterosteus,aculeatus,56,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=702
Gila cypha,Leuciscidae,Gila,cypha,7,,No,
Gila intermedia,Leuciscidae,Gila,intermedia,66,Yes,No,
Gila robusta,Leuciscidae,Gila,robusta,284,Yes,No,
Hemitremia flammea,Leuciscidae,Hemitremia,flammea,201,,No,
Heterandria formosa,Poeciliidae,Heterandria,formosa,311,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=852
Hiodon alosoides,Hiodontidae,Hiodon,alosoides,549,Yes,No,
Hiodon tergisus,Hiodontidae,Hiodon,tergisus,558,Yes,No,
Hybognathus amarus,Leuciscidae,Hybognathus,amarus,78,Yes,No,
Hybognathus hayi,Leuciscidae,Hybognathus,hayi,424,,No,
Hybopsis amnis,Leuciscidae,Hybopsis,amnis,175,,No,
Hybopsis rubrifrons,Leuciscidae,Hybopsis,rubrifrons,464,,No,
Ictalurus lupus,Ictaluridae,Ictalurus,lupus,70,Yes,No,
